paper_id,primary_category,year,total_token_count,matched_token_count,coverage,mean_happiness
2604.22076,cs.LG,2026,170,126,0.7411764705882353,5.323095238095242
2604.22074,cs.CL,2026,225,185,0.8222222222222222,5.465675675675679
2604.22062,cs.CL,2026,188,152,0.8085106382978723,5.589407894736847
2604.2205,cs.LG,2026,225,169,0.7511111111111111,5.514437869822488
2604.22038,cs.CL,2026,136,112,0.8235294117647058,5.4092857142857165
2604.22002,cs.CL,2026,146,102,0.6986301369863014,5.541078431372552
2604.21928,cs.CL,2026,120,85,0.7083333333333334,5.53188235294118
2604.21916,cs.CL,2026,179,128,0.7150837988826816,5.228359375000003
2604.21897,cs.CL,2026,175,134,0.7657142857142857,5.4240298507462725
2604.2189,cs.CL,2026,173,129,0.7456647398843931,5.587829457364345
2604.21882,cs.CL,2026,187,126,0.6737967914438503,5.408253968253973
2604.21871,cs.CL,2026,155,109,0.7032258064516129,5.559357798165142
2604.21782,cs.CL,2026,203,163,0.8029556650246306,5.5576073619631945
2604.21767,cs.CL,2026,281,228,0.8113879003558719,5.507500000000003
2604.21766,cs.CL,2026,171,117,0.6842105263157895,5.528632478632481
2604.21724,cs.CL,2026,196,133,0.6785714285714286,5.464436090225565
2604.21716,cs.CL,2026,159,127,0.7987421383647799,5.369685039370079
2604.21706,cs.CL,2026,220,137,0.6227272727272727,5.310437956204384
2604.21698,cs.CL,2026,161,114,0.7080745341614907,5.526403508771931
2604.21637,cs.CL,2026,169,140,0.8284023668639053,5.4610000000000065
2604.21593,cs.CL,2026,229,170,0.74235807860262,5.53458823529412
2604.2159,cs.CL,2026,209,158,0.7559808612440191,5.5280379746835475
2604.21564,cs.CL,2026,271,211,0.7785977859778598,5.329383886255927
2604.21555,cs.CL,2026,189,150,0.7936507936507936,5.448133333333339
2604.21534,cs.CL,2026,127,85,0.6692913385826772,5.465882352941177
2604.21525,cs.CL,2026,134,67,0.5,5.480895522388062
2604.21523,cs.CV,2026,213,152,0.7136150234741784,5.316250000000005
2604.21511,cs.IR,2026,113,78,0.6902654867256637,5.589487179487181
2604.2151,cs.CL,2026,149,108,0.7248322147651006,5.403981481481482
2604.21481,cs.CL,2026,138,90,0.6521739130434783,5.538111111111112
2604.21469,cs.CL,2026,136,102,0.75,5.353235294117648
2604.21428,cs.CL,2026,179,119,0.664804469273743,5.4293277310924415
2604.2137,cs.CL,2026,150,98,0.6533333333333333,5.498979591836734
2604.21352,cs.CL,2026,212,155,0.7311320754716981,5.565935483870973
2604.21335,cs.LG,2026,209,132,0.631578947368421,5.440530303030307
2604.21309,cs.CL,2026,190,139,0.7315789473684211,5.466330935251802
2604.21308,cs.CR,2026,154,114,0.7402597402597403,5.395701754385966
2604.213,cs.CL,2026,202,135,0.6683168316831684,5.575629629629628
2604.21265,cs.CL,2026,170,133,0.7823529411764706,5.684135338345867
2604.21255,cs.CL,2026,182,127,0.6978021978021978,5.431496062992127
2604.21254,cs.LG,2026,196,135,0.6887755102040817,5.3963703703703745
2604.21238,cs.CL,2026,192,126,0.65625,5.462380952380955
2604.21235,cs.LG,2026,205,157,0.7658536585365854,5.405095541401273
2604.21211,cs.CL,2026,129,88,0.6821705426356589,5.356704545454547
2604.21202,econ.EM,2026,225,200,0.8888888888888888,5.423449999999999
2604.21191,cs.CL,2026,175,131,0.7485714285714286,5.458396946564888
2604.21159,cs.CR,2026,190,136,0.7157894736842105,5.429044117647062
2604.21152,cs.CY,2026,272,195,0.7169117647058824,5.388666666666671
2604.21148,cs.CL,2026,263,227,0.8631178707224335,5.289647577092514
2604.21144,cs.CL,2026,246,193,0.7845528455284553,5.39347150259068
2604.21139,cs.CL,2026,265,207,0.7811320754716982,5.432173913043485
2604.21137,cs.CL,2026,193,130,0.6735751295336787,5.506076923076926
2604.21134,cs.CL,2026,147,99,0.673469387755102,5.603434343434346
2604.21133,cs.CL,2026,109,70,0.6422018348623854,5.54857142857143
2604.21131,cs.CR,2026,246,156,0.6341463414634146,5.212500000000001
2604.2112,cs.LG,2026,200,130,0.65,5.379000000000006
2604.21108,cs.CL,2026,158,121,0.7658227848101266,5.469173553719013
2604.21106,cs.LG,2026,190,146,0.7684210526315789,5.393493150684933
2604.21098,cs.AI,2026,166,138,0.8313253012048193,5.464420289855076
2604.21096,cs.IR,2026,143,103,0.7202797202797203,5.647766990291264
2604.21082,cs.CL,2026,101,78,0.7722772277227723,5.331923076923076
2604.21076,cs.CL,2026,278,209,0.7517985611510791,5.279090909090908
2604.2107,cs.CL,2026,178,115,0.6460674157303371,5.3940000000000055
2604.21057,cs.CL,2026,194,154,0.7938144329896907,5.5527272727272745
2604.21045,cs.CL,2026,173,121,0.6994219653179191,5.563057851239671
2604.20996,cs.CL,2026,194,142,0.7319587628865979,5.677887323943669
2604.20995,cs.AI,2026,244,169,0.6926229508196722,5.320532544378701
2604.20994,cs.CR,2026,239,184,0.7698744769874477,5.321956521739136
2604.20983,cs.CV,2026,203,136,0.6699507389162561,5.5388235294117685
2604.20842,cs.CL,2026,185,137,0.7405405405405405,5.399854014598545
2604.20835,cs.CL,2026,194,151,0.7783505154639175,5.481854304635766
2604.20833,cs.CR,2026,200,158,0.79,5.372468354430385
2604.20817,cs.CL,2026,184,146,0.7934782608695652,5.572054794520552
2604.20806,cs.CV,2026,133,96,0.7218045112781954,5.582812500000003
2604.20791,cs.CL,2026,182,114,0.6263736263736264,5.390701754385968
2604.20789,cs.CL,2026,130,101,0.7769230769230769,5.568910891089112
2604.20738,cs.CL,2026,185,144,0.7783783783783784,5.543055555555557
